"","(Intercept)","HK31","HK41","HK51","HK61","HK31:HK41","HK31:HK51","HK41:HK51","HK31:HK61","HK41:HK61","HK51:HK61","HK31:HK41:HK51","HK31:HK41:HK61","HK31:HK51:HK61","HK41:HK51:HK61","HK31:HK41:HK51:HK61","trait","shapiro_pvalue","lambda"
"1",-2.51792939454327,-0.151547824165083,2.5844238609669,3.0673845123651,1.95204214136147,-0.128410329804836,-0.520685006957396,-3.04503309862482,0.571873516445605,-1.58205115959766,-2.37950571439565,1.09565769558529,-0.230697801970853,NA,2.36103851470723,NA,"leaf_length",2.12991717737809e-05,1.71717171717172
"2",-3.52169416903002,1.19473016695507,3.1297362357711,3.46187370430571,2.70509325027327,-0.514676979853014,-1.02002995549801,-3.37328634495498,-0.6839157330194,-1.76373209815897,-2.16812517823105,1.34122099582559,0.272594032662898,NA,1.68312175832194,NA,"leaf_width",3.35987115954773e-10,2
"3",-3.05119151523132,0.551910233634875,2.86098003142256,3.28402465058912,2.27791758567296,-0.328303149829474,-0.826190504951443,-3.24300365508198,-0.0584553814025449,-1.5714718562558,-2.21266909536808,1.32624681328438,0.0467451002898436,NA,1.95747963538804,NA,"leaf_area",8.41840684597185e-07,0.94949494949495
"4",-2.68708399321444,0.254972285453991,1.85621234103145,3.47309499439287,1.46474609875124,0.491906888797807,-0.762254803906138,-2.13508953649089,0.694653301888089,-1.33149921535896,-1.68729759320282,0.256676170588948,-0.474975242645146,NA,1.39122647011187,NA,"shoot_mass",0.0187397343180141,0.222222222222222
"5",-3.33592621119857,0.912698113102759,2.95489389939553,3.72341243678463,2.49943871536926,-0.506113234710112,-0.71413775816671,-2.46931369296729,0.281140652907572,-2.86791029198323,-2.87495158227208,-0.100236720291568,0.0389958698920364,NA,2.95301992325034,NA,"root_mass",0.503999633340563,0.343434343434343
"6",-3.6137002155435,2.32700334368589,4.00589291547979,3.49260384727028,2.08792142653672,-2.18230013115452,-1.83108844490108,-3.21369438198625,-0.280178849047874,-2.60959303006228,-1.97606366874301,1.5178599480547,0.0972265444111431,NA,2.34617378038563,NA,"tiller_count",0.137071843806761,0.424242424242424
"7",-2.32391936954525,1.23846462498126,1.92038794831019,2.4865587958974,1.39811128487214,-0.737521735073965,-1.5687560264945,-1.51321524073713,-0.425901863403585,-1.15604286464892,-0.823784048817758,0.548904652207564,0.431341552825378,NA,0.523736298046688,NA,"tiller_angle",0.0766103099330977,1.23232323232323
"8",-3.47089402935548,0.787668142852473,3.24810979828206,3.76499398723315,2.37975509911168,-0.688233413675312,-0.588674472244962,-2.93494713283884,-0.147940261618254,-2.2102614402861,-2.44572247491685,0.35459328007406,1.00396927620297,NA,1.82609217101991,NA,"internode_1",0.0539552886873236,0.666666666666667
"9",-2.49330415277139,-0.339468403806256,2.26575121612649,2.90515901803824,1.48964943897172,0.648172242541239,0.045221103136462,-2.13542787429004,0.736320162077269,-1.44221994303198,-1.61381118219863,-0.284752111413626,-0.273684718132622,NA,1.35400662112112,NA,"internode_2",0.782366719120589,0.707070707070707
"10",-2.981539292036,0.185006310203552,1.92230928211952,3.55002400853011,1.80724646189263,0.786732186952779,-0.580282608453052,-2.02996330022723,0.616330264766977,-0.979677222355593,-2.08105474500949,-0.246181769012434,-0.587839294904772,NA,1.30500891206495,NA,"plant_height",0.0553644899256923,0.666666666666667
"11",2.10280677770964,0.640942644712597,-1.15861328436314,-2.49165311248237,-2.33242947943944,-1.6730229531282,-0.167314772718689,1.57249725126943,-0.31894883909421,1.12022283163464,2.39830285046791,0.804179801409814,1.25408715783958,NA,-1.86113850298073,NA,"heading",9.34774125485349e-16,-2
"12",-4.28238100900107,2.85088793323886,4.94639405871533,3.86443237388061,3.03586904616643,-2.49623028569664,-1.54870940650859,-4.12004417417138,-0.902753816414099,-4.48260745072755,-2.58272168678756,1.44788444644023,1.58128847928903,NA,2.88396781146402,NA,"panicles",0.486076594407526,0.545454545454546
"13",-1.68257796373539,-0.796312000450022,1.53821150883382,1.85505237269628,1.03843000450141,0.731471827423643,1.08076640112519,-1.14505508584046,-0.0607853292866182,-0.445854827891994,-1.07324616604744,-1.09856711162861,0.540808925574411,NA,0.221674399870502,NA,"exsertion",0.260623513684456,0.666666666666667
"14",-3.93494335274852,1.27791220137091,2.65608975446479,4.25504480406256,3.07293702602283,-0.592472510769448,-1.15704774287178,-2.44535580944385,-0.0916571439224287,-2.60409463022651,-3.07394012344519,0.199781442039995,1.08950437642629,NA,2.46456330567983,NA,"panicle_length",0.508511026491819,1.67676767676768
"15",-4.14701427532487,0.69510219987326,2.59202679125202,4.1814789912338,3.77685210302852,0.20498940932037,-0.843498630548945,-2.35286119596944,0.190832770723424,-2.74255668926136,-3.38633076172022,-0.208108394001077,0.208270523205269,NA,2.68417423574016,NA,"rachis_length",0.527255334282844,0.828282828282829
"16",-2.734698237655,0.733795815966862,2.1223667441014,3.16253128931131,1.45098456951369,0.3300774647428,-0.660847487648623,-1.97353906226563,0.492665875703968,-1.63780221030373,-2.36098344499589,-0.147968312076892,-0.390436838094935,NA,2.18448487651547,NA,"max_internode",0.784167620070428,0.383838383838384
"17",-2.29363256706517,-0.404069911390107,1.23653401280747,2.06234121871067,2.93244786672394,0.838973618533709,-0.178678876118345,-1.12636843358721,0.521577918985216,-1.51424647971322,-2.19036452740921,-0.327896201226502,-0.614267672514661,NA,1.63387069384025,NA,"prim_branches",0.0328762206658061,0.585858585858586
