"","(Intercept)","HK31","HK41","HK51","HK61","HK31:HK41","HK31:HK51","HK41:HK51","HK31:HK61","HK41:HK61","HK51:HK61","HK31:HK41:HK51","HK31:HK41:HK61","HK31:HK51:HK61","HK41:HK51:HK61","HK31:HK41:HK51:HK61","trait"
"12",7.8344665727824e-12,2.86123943523511e-07,8.10447443347563e-09,2.14129268479067e-11,5.62645729556313e-08,0.000996809563360483,0.000443236125790618,1.50922373265466e-07,0.0374601435508593,1.50191420496955e-08,1.78021576645499e-08,0.0179210463623783,0.0102990904074465,NA,4.8213512747815e-06,NA,"panicles"
"13",9.98578261254446e-05,0.0404197282006543,0.00996195479153227,4.8006415272025e-06,0.00844687945717673,0.179382674739796,0.000783675645832474,0.0373859483695296,0.846803397331745,0.414243860270665,0.000992441563502392,0.0141430561814582,0.225520231915786,NA,0.618930598608247,NA,"exsertion"
"14",1.85872730344709e-22,5.21206263230703e-05,8.02253316584285e-08,2.53301616841753e-27,7.16797062031793e-18,0.172029412128874,8.39466319203977e-06,9.30134949516707e-08,0.713461586109535,1.63339993465223e-08,1.96322722087309e-23,0.571559463742496,0.00243727721123863,NA,1.36822104408176e-10,NA,"panicle_length"
"15",1.24454168710241e-22,0.0260441078307578,3.05640569323804e-07,4.56454932124976e-25,5.10323721637572e-22,0.639347335135872,0.00108003572155123,5.21020149657685e-07,0.45020981644492,8.79999830514252e-09,2.63273564201192e-24,0.560216615388065,0.559911489550713,NA,2.53932804538394e-11,NA,"rachis_length"
"16",1.51996186823155e-05,0.181049043844707,0.0134116479063329,1.32471671321148e-07,0.011372680718642,0.669503189216789,0.14044753952853,0.0132402590933587,0.270839951439093,0.0390407125186972,1.63640921673993e-06,0.814670910865061,0.536509799691278,NA,0.000976088420346668,NA,"max_internode"
"17",7.93359867491238e-09,0.241086522730585,0.0203189910715232,1.87312945595131e-08,3.7080076450056e-14,0.0876589856636972,0.524699265449577,0.0224692173144333,0.0649357787783006,0.00234072509797511,1.89616545505617e-12,0.412598666468341,0.126076970834589,NA,7.4894522979744e-05,NA,"prim_branches"
"18",0.00404248501638924,0.553986252551953,0.540635014198817,1.41681001293238e-06,0.999813682593208,0.108963400436357,0.170433821001463,0.379107003219923,0.0206899670178393,0.644793080909324,0.0119607012843624,0.176447213384504,0.227873539739772,NA,0.375483875747256,NA,"max_primary"
"19",1.00692529542038e-25,5.99655414788818e-05,5.40716618629287e-10,3.95746892418039e-33,9.6004480049968e-17,0.360614983155228,1.04474755430384e-09,1.41354018372564e-11,0.329958506742361,6.48836845361981e-09,7.47429079971907e-23,0.87521707442006,0.906554767903167,NA,2.62006381335126e-11,NA,"sec_branches"
"20",0.000106660024863424,0.000215021848388839,0.00481764387536019,7.31741683128801e-07,0.123362374978024,0.0893904462566402,0.000470538522517434,0.00268013929648579,0.31374384084862,0.0108109506407902,0.0176998999739371,0.0532866874542185,0.108676833067479,NA,0.178876873540406,NA,"max_secondary"
"21",7.65403555406449e-23,0.390749284659719,1.91022109960169e-07,1.64701860394988e-28,1.10971990362808e-21,0.022677610423148,0.000305995870459072,1.47176942092912e-08,0.0840079043105908,2.61892068484003e-08,7.26258127809247e-26,0.536763809401374,0.462535312057375,NA,3.90614023053726e-11,NA,"total_spikelets"
"22",0.212414293756678,0.365260201242653,0.00228407247502226,0.0194237678315461,0.621978626765481,0.2158954373139,0.947158819312901,0.00422034048267938,0.000127834905734342,2.9022063205504e-05,0.000627144160471726,0.430642031412377,0.119925788138341,NA,0.00152415477224928,NA,"unfilled_spikelets"
"23",0.000484627211282283,0.927807069705237,0.367339369481023,0.000884095434220414,5.82378714155566e-06,0.834522615899904,0.730561024768814,0.528075902742762,0.911643186434259,0.330653966537575,5.59113003212403e-05,0.808882068854703,0.798522944157767,NA,0.440897626100981,NA,"malformed_prop"
