"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","wt_ba_mean","wt_veh_mean","hk3456_ba_mean","hk3456_veh_mean"
"Os03g0607700",36.5742009508489,2.07622985438696,0.37197674349689,5.58161199775201,2.38299523869844e-08,4.14916756016915e-06,4.13653542203772,1.02444172381294,0.824970056706251,0.65321342928662
"Os03g0612201",40.4146065695876,1.42237358077295,0.36202961956419,3.92888731724548,8.53398140258113e-05,0.00582472677330838,7.23570020193315,2.75809607844855,4.00382762338245,4.00809069507869
"Os03g0619151",150.621155921172,-1.59627057009803,0.407830525090434,-3.91405368625623,9.07594424676514e-05,0.00614547071417867,7.35874842070132,22.6551047051036,6.5291385648706,5.28402442712049
"Os03g0640000",1124.46060566225,1.0620205729474,0.291415881274541,3.6443469323035,0.000268071617900363,0.015384065157309,60.055015746232,29.9258361645042,33.941706988486,30.0651154819199
"Os03g0665700",66.3019431500935,1.24926766541194,0.26684440237015,4.68163339502635,2.84598108465397e-06,0.000308656296024231,20.3252459100015,8.94237916755897,4.60687944901803,4.13595347501365
"Os03g0700200",71.6089686736217,1.41805016203832,0.328417857683029,4.31782294678672,1.57575750653199e-05,0.00137650216312923,21.003914782783,8.10065449841879,7.85634766484608,8.08157366286111
"Os03g0705800",202.484237080154,4.04547467762594,0.307926415112035,13.1377968212115,1.99964409932864e-39,4.65280824748332e-36,23.0717819340818,1.44581992212654,0.341623337434567,0.300158250276425
"Os03g0714100",123.246338548769,2.02449034698974,0.266625870803334,7.5930004124882,3.12581550401978e-14,1.48157866343308e-11,23.233056335695,5.94206490491417,1.53916981239934,1.48029429352013
"Os03g0752300",528.074240353489,1.18104154861333,0.137761867897059,8.5730657303213,1.00765952646776e-17,6.44776139498555e-15,26.5560722929805,12.1221324791256,11.423119402996,10.7219495100027
"Os03g0760200",4985.90817231098,1.01992778695445,0.190083475120786,5.36568360982644,8.06431961351166e-08,1.21415447357548e-05,230.821792055976,119.108748255493,84.6548712218218,68.3941072695935
"Os03g0764600",608.313233523918,1.03144728838173,0.244100408435258,4.2255041480412,2.384064330681e-05,0.00196206194674534,29.9241954824835,15.4159009202517,18.315782129618,16.1223903899844
"Os03g0772900",57.0547917511675,1.37090704072785,0.32010538037418,4.28267415913272,1.8466049292161e-05,0.00157546177210954,4.62690950753893,1.84443904198455,1.13574652657053,1.25991638128363
"Os03g0790500",825.442503017459,1.02404541987749,0.253083644514084,4.04627261411397,5.20396256247049e-05,0.00384957866434775,53.4944631658841,26.9914098629725,25.7504402506841,21.0259853246285
"Os03g0794300",29.6008753733151,1.64326711715004,0.426710105437692,3.85101523542425,0.000117629180024366,0.00775958469774134,6.33817373800186,2.08280990105612,3.03056295831028,2.31629594041915
"Os03g0828500",283.733691248545,1.28466308341534,0.200487324510039,6.40770226524229,1.47729035665019e-10,3.89806666788264e-08,9.9282710161545,4.17283591225849,4.38847691247168,4.53770105849575
"Os03g0850700",52.3201820710785,2.07300588394971,0.297000967259576,6.97979505951548,2.9561096494675e-12,9.82618525689879e-10,5.60509579690565,1.39905158627183,1.37867309415188,1.26869001278088
"Os03g0854000",118.294419491253,1.0814885412779,0.282088302133201,3.8338652581461,0.000126145258182613,0.00826801057779513,10.5025341628014,5.11773187716629,8.36858612710234,8.19079735866477
"Os03g0857900",78.1298060255073,-1.04046165290842,0.285085878129073,-3.64964290668002,0.000262605113788094,0.0151382384851492,1.76340255147383,3.76649860895003,4.76080883996068,4.29715139674382
"Os04g0121800",41.5782348245324,1.35910862924957,0.380964785925408,3.56754398165209,0.000360342910319743,0.0194167932413343,19.8016757214852,8.03020266322633,9.64130727059116,8.86790967917065
"Os04g0379600",789.942792708436,1.28476020496467,0.214881985249017,5.978910719183,2.24634624000406e-09,4.8315321019247e-07,37.398940777799,15.6741549911691,13.9115233179831,14.6573965306797
"Os04g0416450",46.7513683303236,1.55989601847796,0.32907086441331,4.74030425409751,2.13397528467827e-06,0.000246031970321352,1.97487906874194,0.688343222751888,0.466161852040413,0.546426236569642
"Os04g0416500",97.1198959858574,1.29568867420393,0.207041166528219,6.25812101009067,3.89643440096304e-10,9.97292384926491e-08,4.18668868394668,1.76866599136828,1.28776334620778,1.56489703101427
"Os04g0435500",225.971612636422,1.18968294845669,0.240657010954076,4.94347928506316,7.67405077269389e-07,9.53482182170389e-05,12.9781219561365,5.90690274768068,7.32074326763631,7.40066411691636
"Os04g0442300",480.430705397367,1.80170593326578,0.162329658727473,11.0990557572142,1.26776151099146e-28,1.70780820388561e-25,41.8502020779944,12.5233232943755,6.06478403312979,6.00116438181079
"Os04g0456700",144.071458608073,1.38667756993907,0.272124584157354,5.09574529707775,3.47371905628499e-07,4.67946522345338e-05,17.0322650819197,6.80269793202746,7.53964400252673,6.4416432982556
"Os04g0457000",50.8187555175958,1.79032061840881,0.386768485961055,4.62892061632209,3.67576631952202e-06,0.000385578848148222,5.3612076441537,1.61847562287751,1.23069938451962,1.32793511370195
"Os04g0462200",49.0157185649344,1.15688218471663,0.276682886999691,4.18125673496359,2.89902302621025e-05,0.00231154188024459,7.18999801166518,3.33990589820398,2.93677319891271,3.04017820711038
"Os04g0481550",133.123725970308,1.09560260612367,0.228526615108439,4.79420134763641,1.63324174863717e-06,0.000194088905700907,5.57800380052563,2.6735516931061,3.7320270129498,2.96928914469647
"Os04g0482600",129.662122365452,1.28266140557744,0.298832374057432,4.2922438026441,1.76876580899217e-05,0.00151917989534076,22.0765610298416,9.47391565113621,7.40882670176777,6.25634946037323
"Os04g0488800",223.577859968025,1.11941982670784,0.259530739676414,4.31324562209295,1.60875217930018e-05,0.00139470803819094,19.3652592468432,9.16082615192871,11.9330547553043,9.20013976458895
"Os04g0504000",134.552503124241,1.48660959282452,0.272966921881717,5.44611626411167,5.14814930933443e-08,7.98587161044938e-06,7.53906064490127,2.83330335062826,6.54167333306968,6.56146344039717
"Os04g0505500",233.194915624834,1.04518639630909,0.31971005513639,3.26916961014319,0.00107863623372326,0.0474820218304732,7.60959285871049,3.77386291474176,5.62818720379484,5.09910768810457
"Os04g0523812",539.613702334479,1.21556201279518,0.221568448756039,5.48616926110084,4.10743354187309e-08,6.61193468580136e-06,38.3274810472829,17.2961393325095,13.8700859991266,13.6287356222835
