"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","wt_ba_mean","wt_veh_mean","hk3456_ba_mean","hk3456_veh_mean"
"Os03g0750000",326.770601758378,-1.38794525198976,0.199721248470009,-6.94941205616478,3.66811700700957e-12,1.01527428251745e-09,20.8915237446033,27.4793933912167,12.9808468488484,10.1599002303781
"Os03g0754500",47.6017553361732,1.14261593690453,0.295337487000055,3.86884830811986,0.00010935064354972,0.00293584607802288,3.4647072479131,3.34260789030913,7.35581706903363,7.09823380654135
"Os03g0757000",179.029809802668,1.32365526998289,0.285128573925644,4.64231014015478,3.4453518148472e-06,0.00017857298363903,3.84230324486028,3.64378845201106,10.0194802705842,8.80294713998631
"Os03g0764000",425.156110161648,1.24811796307325,0.22664179862194,5.50700696280312,3.64985830207264e-08,3.91965582776185e-06,6.38439696178708,5.19207343310751,12.7738387095858,11.7260422892325
"Os03g0766500",16.9743601662679,1.85915063551128,0.583343520954568,3.18705971477838,0.00143727097677857,0.0220754297394457,0.343780036561019,0.212522947811025,0.888328429108906,0.746127342577123
"Os03g0771100",25.5020954187469,1.18738424220089,0.367947833560765,3.22704506970497,0.00125075757538614,0.0198817876755282,0.373123387876172,0.716943105544506,1.10269792768042,1.56840890465041
"Os03g0772100",16.8195338590669,3.05252448412067,0.663121466632909,4.60326597421175,4.15916509046569e-06,0.000207942764150508,0.225578425457222,0.157638727488153,1.10444873823837,1.26949548611509
"Os03g0791700",159.268588974928,1.38683634692336,0.316172763346789,4.38632452790447,1.15282083482429e-05,0.000476730669920003,2.13543206466708,2.36485249564128,4.31452418045704,5.97628277011716
"Os03g0793700",220.733629091871,-2.55619756196746,0.753965328997177,-3.39033834004989,0.000698064118867384,0.0129163511118894,6.99788264782845,14.0015508589606,2.11401887484583,2.25608875821431
"Os03g0800200",1341.12164818782,-2.7014484539104,0.505837924539232,-5.34054155067781,9.26693341162669e-08,8.76051507870963e-06,31.8803428753356,29.0353188347254,4.00780010667566,4.28520190363824
"Os03g0803100",3179.45864111218,-1.93972463047986,0.251739297415795,-7.70529134859717,1.3054511015093e-14,5.95436570432554e-12,1439.09804770363,1491.28381489632,379.267674207038,371.469643703126
"Os03g0803200",18.6266304363928,-1.69672566261436,0.545074040292491,-3.1128352062114,0.00185299452992702,0.0265329051410563,1.85065114793408,1.53332917940602,0.52136038215829,0.450873771597899
"Os03g0805900",66.6222796562389,1.10498469525392,0.357708278056522,3.08906660270055,0.00200786421147412,0.0282384171553993,1.13959041635018,1.40028857028026,2.29992347343507,2.87914649644563
"Os03g0807600",96.3296836334655,5.07304350986274,0.898974286764732,5.64314639979285,1.66970249905334e-08,1.96983626859251e-06,0.422339010664935,0.216526428806955,14.1791349932282,7.0642826759199
"Os03g0808300",217.442257289732,1.61421233102512,0.302750101404844,5.33183085169826,9.7227482644842e-08,9.12714494422629e-06,4.74091329968067,4.60229460298838,13.2952731313469,13.6420711621251
"Os03g0808900",35.2866365345437,2.322324594834,0.473694128393757,4.90258260685801,9.45848189234385e-07,6.00624392420661e-05,0.277177723242185,0.204572318085651,0.879364074749364,0.987711109797548
"Os03g0815700",41.7920281576773,-1.24211687395911,0.317194290230693,-3.91594966307787,9.00490365839943e-05,0.00252362895011177,1.717287858866,1.88565128034743,1.10708968570192,0.774075653923809
"Os03g0817500",15.9637334482765,2.86072898006856,0.770173270633658,3.7143966028773,0.000203689130682428,0.00487401584720305,0.129284913109427,0.134349972256396,0.666222768459371,0.955106759210076
"Os03g0818800",193.289850780274,1.30156666464828,0.189543736457026,6.86684080928928,6.56392457672868e-12,1.71095385471856e-09,2.34103612192194,2.45375883818536,5.90516964050944,5.87313866456836
"Os03g0819600",195.921385522651,1.44809879059621,0.353238146483638,4.09949719477221,4.14048688633716e-05,0.00132716685710866,7.06467745550474,6.7781444044488,21.7066709236202,17.9621090655855
"Os03g0821200",58.6468627100153,-1.19010790638701,0.359028558028439,-3.31480011763506,0.00091708675511355,0.0158646554132014,2.02360394676502,2.12043676217958,1.07934014010229,0.901184793350836
"Os03g0826800",996.657805950736,1.25981474252305,0.279901774625675,4.50091731003799,6.76608260143334e-06,0.000307370195741594,30.3583245314152,34.4223972737413,85.9067049660189,80.0818935297077
